date,time,text,cleaning,case_folding,normalisasi,token,stopword_removal,steming_data,is_unique_stem,Sentiment,Score
2025-07-17,23:40:51,kangen essay abal-abalanku. cinta sm guru english lanjutku krn pas uprak nyuruh muridnya bikin essay tentang #kaburajadulu WAKAKKAAKAK akhirnya aku bisa mencaci-maki pemerintah lewat tulisan indahku itu,kangen essay abalabalanku cinta sm guru english lanjutku krn pas uprak nyuruh muridnya bikin essay tentang  WAKAKKAAKAK akhirnya aku bisa mencacimaki pemerintah lewat tulisan indahku itu,kangen essay abalabalanku cinta sm guru english lanjutku krn pas uprak nyuruh muridnya bikin essay tentang  wakakkaakak akhirnya aku bisa mencacimaki pemerintah lewat tulisan indahku itu,kangen essay abalabalanku cinta sama guru english lanjutku karena pas uprak nyuruh muridnya bikin essay tentang wakakkaakak akhirnya aku bisa mencacimaki pemerintah lewat tulisan indahku itu,"['kangen', 'essay', 'abalabalanku', 'cinta', 'sama', 'guru', 'english', 'lanjutku', 'karena', 'pas', 'uprak', 'nyuruh', 'muridnya', 'bikin', 'essay', 'tentang', 'wakakkaakak', 'akhirnya', 'aku', 'bisa', 'mencacimaki', 'pemerintah', 'lewat', 'tulisan', 'indahku', 'itu']","['kangen', 'essay', 'abalabalanku', 'cinta', 'guru', 'english', 'lanjutku', 'pas', 'uprak', 'nyuruh', 'muridnya', 'bikin', 'essay', 'wakakkaakak', 'mencacimaki', 'pemerintah', 'tulisan', 'indahku']",kangen essay abalabalanku cinta guru english lanjut pas uprak nyuruh murid bikin essay wakakkaakak mencacimaki perintah tulis indah,True,Positif,1
2025-07-17,21:13:40,@MN_aliakbar #kaburajadulu emang tidak untuk semua orang ,emang tidak untuk semua orang,emang tidak untuk semua orang,memang tidak untuk semua orang,"['memang', 'tidak', 'untuk', 'semua', 'orang']",['orang'],orang,True,Negatif,0
2025-07-17,17:54:52,Umur segini sy memutuskan #kaburajadulu ke Eropa bermodalkan niat untuk belajar. Hidup seadanya ditanah orang kena rasis tiap hari selalu berfikir cukup ga yaa? Nulis paper sampe 10 dalam setahun Biar bisa jajan diluar . Seru untuk d ingat tp tidak ingin terulang lagi,Umur segini sy memutuskan  ke Eropa bermodalkan niat untuk belajar Hidup seadanya ditanah orang kena rasis tiap hari selalu berfikir cukup ga yaa Nulis paper sampe  dalam setahun Biar bisa jajan diluar  Seru untuk d ingat tp tidak ingin terulang lagi,umur segini sy memutuskan  ke eropa bermodalkan niat untuk belajar hidup seadanya ditanah orang kena rasis tiap hari selalu berfikir cukup ga yaa nulis paper sampe  dalam setahun biar bisa jajan diluar  seru untuk d ingat tp tidak ingin terulang lagi,umur segini saya memutuskan ke eropa bermodalkan niat untuk belajar hidup seadanya ditanah orang kena rasis tiap hari selalu berpikir cukup tidak ya menulis paper sampai dalam setahun biar bisa jajan diluar seru untuk di ingat tapi tidak ingin terulang lagi,"['umur', 'segini', 'saya', 'memutuskan', 'ke', 'eropa', 'bermodalkan', 'niat', 'untuk', 'belajar', 'hidup', 'seadanya', 'ditanah', 'orang', 'kena', 'rasis', 'tiap', 'hari', 'selalu', 'berpikir', 'cukup', 'tidak', 'ya', 'menulis', 'paper', 'sampai', 'dalam', 'setahun', 'biar', 'bisa', 'jajan', 'diluar', 'seru', 'untuk', 'di', 'ingat', 'tapi', 'tidak', 'ingin', 'terulang', 'lagi']","['umur', 'segini', 'memutuskan', 'eropa', 'bermodalkan', 'niat', 'belajar', 'hidup', 'seadanya', 'ditanah', 'orang', 'kena', 'rasis', 'berpikir', 'ya', 'menulis', 'paper', 'setahun', 'biar', 'jajan', 'diluar', 'seru', 'terulang']",umur gin putus eropa modal niat ajar hidup ada tanah orang kena ras pikir ya tulis paper tahun biar jajan luar seru ulang,True,Negatif,0
2025-07-17,16:23:20,@orochimayu WAKAKAKA kebelet #kaburajadulu,WAKAKAKA kebelet,wakakaka kebelet,wakakaka kebelet,"['wakakaka', 'kebelet']","['wakakaka', 'kebelet']",wakakaka kebelet,True,Negatif,0
2025-07-17,16:13:06,kaburajadulu,kaburajadulu,kaburajadulu,kaburajadulu,['kaburajadulu'],['kaburajadulu'],kaburajadulu,True,Negatif,0
2025-07-17,16:02:06,Hastag #kaburajadulu itu beneran harus berubah jadi orang cuek bodo amat. Apalagi kalo kalian ketemu sama PASTOR MUSLIM di florida. Kemarin uda bengong nonton vegan minum susu stroberi karena itu susunya berasal dari stroberi. https://t.co/eRdj1q73ED,Hastag  itu beneran harus berubah jadi orang cuek bodo amat Apalagi kalo kalian ketemu sama PASTOR MUSLIM di florida Kemarin uda bengong nonton vegan minum susu stroberi karena itu susunya berasal dari stroberi,hastag  itu beneran harus berubah jadi orang cuek bodo amat apalagi kalo kalian ketemu sama pastor muslim di florida kemarin uda bengong nonton vegan minum susu stroberi karena itu susunya berasal dari stroberi,hastag itu benaran harus berubah jadi orang cuek bodo amat apalagi kalau kalian ketemu sama pastor muslim di florida kemarin sudah bengong menonton vegan minum susu stroberi karena itu susunya berasal dari stroberi,"['hastag', 'itu', 'benaran', 'harus', 'berubah', 'jadi', 'orang', 'cuek', 'bodo', 'amat', 'apalagi', 'kalau', 'kalian', 'ketemu', 'sama', 'pastor', 'muslim', 'di', 'florida', 'kemarin', 'sudah', 'bengong', 'menonton', 'vegan', 'minum', 'susu', 'stroberi', 'karena', 'itu', 'susunya', 'berasal', 'dari', 'stroberi']","['hastag', 'benaran', 'berubah', 'orang', 'cuek', 'bodo', 'ketemu', 'pastor', 'muslim', 'florida', 'kemarin', 'bengong', 'menonton', 'vegan', 'minum', 'susu', 'stroberi', 'susunya', 'berasal', 'stroberi']",hastag benar ubah orang cuek bodo ketemu pastor muslim florida kemarin bengong tonton vegan minum susu stroberi susu asal stroberi,True,Negatif,0
2025-07-17,15:52:44,@spidroins gak sabar menyaksikan update kehidupan kaburajadulu,gak sabar menyaksikan update kehidupan kaburajadulu,gak sabar menyaksikan update kehidupan kaburajadulu,tidak sabar menyaksikan update kehidupan kaburajadulu,"['tidak', 'sabar', 'menyaksikan', 'update', 'kehidupan', 'kaburajadulu']","['sabar', 'menyaksikan', 'update', 'kehidupan', 'kaburajadulu']",sabar saksi update hidup kaburajadulu,True,Positif,1
2025-07-17,15:41:32,@spidroins semangat juga kaburajadulu nya nanti september ricooo,semangat juga kaburajadulu nya nanti september ricooo,semangat juga kaburajadulu nya nanti september ricooo,semangat juga kaburajadulu ya nanti september ricooo,"['semangat', 'juga', 'kaburajadulu', 'ya', 'nanti', 'september', 'ricooo']","['semangat', 'kaburajadulu', 'ya', 'september', 'ricooo']",semangat kaburajadulu ya september ricooo,True,Positif,1
2025-07-17,14:47:35,demi apapun iya pada pindah #kaburajadulu beneran dilakuin even org terdekat bbrp udh merantau LN,demi apapun iya pada pindah  beneran dilakuin even org terdekat bbrp udh merantau LN,demi apapun iya pada pindah  beneran dilakuin even org terdekat bbrp udh merantau ln,demi apapun iya pada pindah benaran dilakuin even orang terdekat beberapa sudah merantau ln,"['demi', 'apapun', 'iya', 'pada', 'pindah', 'benaran', 'dilakuin', 'even', 'orang', 'terdekat', 'beberapa', 'sudah', 'merantau', 'ln']","['apapun', 'iya', 'pindah', 'benaran', 'dilakuin', 'even', 'orang', 'terdekat', 'merantau', 'ln']",apa iya pindah benar dilakuin even orang dekat rantau ln,True,Negatif,0
2025-07-17,14:15:19,@Sedurous Sekarang masih libur ya Dustin? Atau mau ikutan #.KaburAjaDulu?,Sekarang masih libur ya Dustin Atau mau ikutan KaburAjaDulu,sekarang masih libur ya dustin atau mau ikutan kaburajadulu,sekarang masih libur ya dustin atau mau ikutan kaburajadulu,"['sekarang', 'masih', 'libur', 'ya', 'dustin', 'atau', 'mau', 'ikutan', 'kaburajadulu']","['libur', 'ya', 'dustin', 'ikutan', 'kaburajadulu']",libur ya dustin ikut kaburajadulu,True,Positif,1
