date,time,steming_data,Score,Sentiment
2025-07-17,23:40:51,kangen essay abalabalanku cinta guru english lanjut pas uprak nyuruh murid bikin essay wakakkaakak mencacimaki perintah tulis indah,1,positif
2025-07-17,21:13:40,orang,0,negatif
2025-07-17,17:54:52,umur gin putus eropa modal niat ajar hidup ada tanah orang kena ras pikir ya tulis paper tahun biar jajan luar seru ulang,0,negatif
2025-07-17,16:23:20,wakakaka kebelet,0,negatif
2025-07-17,16:13:06,kaburajadulu,0,negatif
2025-07-17,16:02:06,hashtag benar ubah orang cuek bodo ketemu pastor muslim florida kemarin bengong tonton vegan minum susu stroberi susu asal stroberi,0,negatif
2025-07-17,15:52:44,sabar saksi update hidup kaburajadulu,1,positif
2025-07-17,15:41:32,semangat kaburajadulu ya september ricooo,1,positif
2025-07-17,14:47:35,apa iya pindah benar dilakuin even orang dekat rantau negeri,0,negatif
2025-07-17,14:15:19,libur ya dustin ikut kaburajadulu,1,positif
2025-07-17,13:47:32,ayo anak muda,0,negatif
2025-07-17,13:14:45,hasil kaburajadulu benua eropa fix banget nama tuhan yesus tweet retweet depannnn stay tunee saksi ya weeeeee,1,positif
2025-07-17,12:36:44,moga ya wujud citacita kaburajadulu ku,1,positif
2025-07-17,12:27:52,mamak peabutt ya biar,1,positif
2025-07-17,12:06:17,tren bikin akun medsos rame share info beasiswa lowong kerja internasional tips adaptasi budaya dsb gimana pikir pengin bantu bangun ekosistem,1,positif
2025-07-17,12:04:41,guys lihat hashtag rame isi cerita anak muda pengin angkat kaki indonesia kuliah kerja negeri ya yuk simak thread bawah,1,positif
2025-07-17,11:43:10,tau ih otw sih,0,negatif
2025-07-17,10:24:47,poster pronatalitas indonesia anak bare minimum anak bangun indonesia anak kaburajadulu singapura anak pindah eropa,0,negatif
2025-07-17,00:59:48,asing,0,negatif
2025-07-17,00:48:22,wajib baca,0,negatif
2025-07-16,17:26:19,kerja erti ironi warga warga indonesia sadar indonesia maju maju konsumtif gedein gengsi cari kerja makan,1,positif
2025-07-16,17:16:20,biar ya kak,1,positif
2025-07-16,16:50:26,idealisme gue cari pasang vision ajak laksana pikir maaf skip,1,positif
2025-07-16,16:43:50,kak jo pls bilang kak kuk buka batch buldep taiwan pls wujudin citacitaku coba kuk temenmu before minggat n kaburajadulu,0,negatif
2025-07-16,16:25:43,doain biar coba fangirling korea ya,1,positif
2025-07-16,13:39:30,loh gimana nasib hashtag,0,negatif
2025-07-16,13:25:32,kaburajadulu elegan,0,negatif
2025-07-16,13:00:04,kaburajadulu ya,1,positif
2025-07-16,12:59:41,nih alas kaburajadulu,0,negatif
2025-07-16,12:09:55,,0,negatif
2025-07-16,11:51:49,singlish contoh bahasa sa eh makan tantang banyak temenku kaburajadulu tuh ngeluhnya makan ngalamin,0,negatif
2025-07-16,11:46:45,pengin bismillah,1,positif
2025-07-16,11:30:37,tanyatanya kaburajadulu kak,0,negatif
2025-07-16,11:20:33,hi mantan kaburajadulu teman,0,negatif
2025-07-16,11:20:08,tips kaburajadulu,1,positif
2025-07-16,11:19:18,hi hmu senior kaburajadulu junior cerita susul,0,negatif
2025-07-16,11:18:45,hiiiii teman plissss kaburajadulu,0,negatif
2025-07-16,11:18:09,tolong kasih tip trick,0,negatif
2025-07-16,11:16:46,tau ikut kaburajadulu,0,negatif
2025-07-16,11:16:34,kasih tips kaburajadulu huft capek tinggal wakanda,1,positif
2025-07-16,11:16:16,tips and trick kaburajadulu ya kak,1,positif
2025-07-16,11:15:04,kaburajadulu sounds fun gimana hidup,0,negatif
2025-07-16,11:11:45,hello everyone i ya with masculine pronouns and now kaburajadulu person list suka minat mau teman,1,positif
2025-07-16,10:28:49,makan tuh sdm rendan sok kaburajadulu skill issue no attitude,0,negatif
2025-07-16,09:58:16,loh agenda ya wkwkwkwk orang india diaspora india alam ironis media nargetin orang indonesia luar negeri media naikin tagar kaburajadulu wkwkwk,1,positif
2025-07-16,09:14:08,just imagine media barat emang sengaja nargetin turis china besar orang mikir mayoritas orang china brengsek rasisme orang mainland indonesia targetin trending,0,negatif
2025-07-16,09:00:02,sempat emas binamandiri pte ltd cari online driver eropa gaji nett akomodasi kualifikasi pria sim internasional bahasa inggris alam driver,0,negatif
2025-07-16,08:49:56,sih,0,negatif
2025-07-16,08:46:53,pasti modal skill ya nder oiya basic manner,1,positif
2025-07-16,08:26:57,redup celaka bangkit sinar selamat bagas azhar moga sukses,1,positif
2025-07-16,08:23:53,kayak berangkat jepang hashtag pendekar showcase arogansi sana adrenalin keren,0,negatif
2025-07-16,06:51:49,kaburajadulu roblod,0,negatif
2025-07-16,06:17:09,kaburajadulu pilih,0,negatif
2025-07-16,05:57:51,minimum hidup ya hidup putar biar lapar emang bilang hidup improve upgrade sempat perintah kasih rakyat hidup layak dikuatin high skill individu bantu chance,0,negatif
2025-07-16,05:24:24,pakai hashtag,0,negatif
